Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Community Involvement,Not Listed Communities,Associated Communities,Main Community,Community Scale,U.S. Born,State,Country,Years on Island:,Months on Island:,Stay on Island:,Feel Aloha Spirit,Hawaiian Culture,Residence,Education,Gender,Religious View,Sexuality,Relationship Status ,Age,Occupation,Other Occupation,ID
10/29/2025,10/29/2025,Survey Preview,,100,181,True,10/29/2025 1:53,R_1pAkzDI2IaqE9JG,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Free Diving / Scuba Diving,Calisthenics,Boating,Paddling / Outrigger",,"Volley Ball,LGBTQ,Fire Spinning,Rock Climbing,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Theatre,Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Martial Arts,Slackline / Highline,Hiking,Hunting",Diving,3.0,Yes,California,United States,10.0,,Yep.,Sometimes,A moderate amount,Honolulu,Bachelor’s degree,Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,25 - 34,"Research,Other",Ecosystem management,44
10/29/2025,10/29/2025,Survey Preview,,100,299,True,10/29/2025 2:09,R_1CdurZJr4NVpW2a,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,LGBTQ,Bar Scene,Running,Yoga,Hiking",,"Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Spiritual (meditations, retreats, etc.),Calisthenics,Boating,Music (bands, live performances),Paddling / Outrigger,Pickle Ball",Acroyoga,9.0,Yes,Florida,United States,4.0,,Yep.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,"Agnostic, Atheist, or non-religious",Heterosexual,Single,25 - 34,Other,Airline,45
10/29/2025,10/29/2025,Survey Preview,,100,127,True,10/29/2025 2:26,R_1HSR5hbCCvO8LR0,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Free Diving / Scuba Diving,Surfing,Hunting",,"Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Tech,Farming",Acroyoga,10.0,No,,Russian Federation,13.0,,Yep.,Almost Always,A lot,Honolulu,Bachelor’s degree,Male,Other,Heterosexual,Taken - in a monogamous relationship,25 - 34,Military,,46
10/29/2025,10/29/2025,Survey Preview,,100,206,True,10/29/2025 2:55,R_1QiiXcLjVJCORfE,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Surfing,Spiritual (meditations, retreats, etc.),Yoga,Hiking,Business / Entreprenuership",,"Volley Ball,Fire Spinning,Bar Scene,SurfBreak,Music (bands, live performances),Art / Vending,Yoga,Tech",Yoga,6.0,Yes,Virginia,United States,1.0,,Yep.,Almost Always,A little,North Shore,Bachelor’s degree,Female,Spiritual,Heterosexual,Single,25 - 34,Other,"Wellness, coaching, astrology ",47
10/29/2025,10/29/2025,Survey Preview,,100,238,True,10/29/2025 3:02,R_1KMCqKeJHHdp1Te,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Rock Climbing,Dance (salsa, zouk, hip hop, etc.),Hiking",,"Volley Ball,Fire Spinning,Surfing,Spiritual (meditations, retreats, etc.),Calisthenics",Rock Climbing,7.0,Yes,California,United States,6.0,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Female,"Agnostic, Atheist, or non-religious",Prefer not to disclose,Taken - in a monogamous relationship,25 - 34,Tech,,48
10/29/2025,10/29/2025,Survey Preview,,100,204,True,10/29/2025 3:06,R_110mApezJCE3ujc,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Calisthenics,Boating,Yoga,Farming",,"Volley Ball,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Running",Acroyoga,7.0,No,,Thailand,39.0,,Yep.,Almost Always,A little,Central Oahu,"Some college, but no degree",Male,Christian,Heterosexual,Single,35 - 44,Other,Usda inspector ,49
10/29/2025,10/29/2025,Survey Preview,,100,382,True,10/29/2025 3:14,R_1mPN1reQviTbw9n,,,,,21.3042,-157.8588,preview,EN,"Surfing,Spiritual (meditations, retreats, etc.),Boating,Farming",,"Running,Dance (salsa, zouk, hip hop, etc.),Slackline / Highline,Pickle Ball",Farming,3.0,Yes,California,United States,10.0,,Yep.,,A moderate amount,Honolulu,"Some college, but no degree",Male,Spiritual,Heterosexual,Fluid - open to whatever happens,35 - 44,"Unemployed,Education",,50
10/29/2025,10/29/2025,Survey Preview,,100,271,True,10/29/2025 3:21,R_12EKutV832Otti6,,,,,21.3042,-157.8588,preview,EN,"Acroyoga,Volley Ball,Fire Spinning,Calisthenics,Slackline / Highline",,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Running,Boating",,5.0,Yes,California,United States,8.0,,Yep.,Almost Always,A little,Honolulu,High school diploma or GED,Male,Christian,Prefer not to disclose,Single,18 - 24,Other,Farmers markets ,51
10/29/2025,10/29/2025,Survey Preview,,100,200,True,10/29/2025 7:38,R_3jXtJsyLJf5PmQ9,,,,,21.2891,-157.8028,preview,EN,"Surfing,Boating,Paddling / Outrigger,Hiking",,"Acroyoga,Fire Spinning,Slackline / Highline",Fire Spinning,1.0,Yes,Texas,United States,,,Yep.,Almost Always,A little,Honolulu,Bachelor’s degree,Male,Spiritual,Heterosexual,Single,25 - 34,Other,Construction ,52
10/29/2025,10/29/2025,Survey Preview,,100,192,True,10/29/2025 13:44,R_7mvQRzp6D190nsZ,,,,,21.2982,-157.8444,preview,EN,"Acroyoga,Volley Ball,Fire Spinning,Surfing,Spiritual (meditations, retreats, etc.),SurfBreak,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Yoga,Hiking,Business / Entreprenuership,Farming",,"Rock Climbing,Boating",Acroyoga,7.0,Yes,Florida,United States,16.0,,Yep.,Almost Always,A lot,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Fluid - open to whatever happens,45 - 54,"Business and Sales,Community and Social Services",,53
10/29/2025,10/29/2025,Survey Preview,,100,216,True,10/29/2025 18:19,R_7plOpOYIdkcnijT,,,,,21.4082,-157.7396,preview,EN,"Volley Ball,Free Diving / Scuba Diving,Surfing,Yoga,Hiking,Business / Entreprenuership",,"Fire Spinning,Art / Vending,Music Production (DJs, light production, etc.),Paddling / Outrigger,Pickle Ball",Business / Enterpreneurship,1.0,Yes,Colorado,United States,1.0,,Yep.,Almost Always,A moderate amount,East Side,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Spiritual,Heterosexual,Taken - in a monogamous relationship,35 - 44,"Tech,Business and Sales,Other",Cryptotax (Tax & Accounting),54
10/29/2025,10/29/2025,Survey Preview,,100,348,True,10/29/2025 23:50,R_1kIkbS8Wx58icB2,,,,,21.3042,-157.8588,preview,EN,"Volley Ball,Poetry,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Surfing,Spiritual (meditations, retreats, etc.),Calisthenics,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Yoga,Other / I don't see a community listed here,Slackline / Highline,Hiking,Business / Entreprenuership",Cliff Jumping ,,Hiking,9.0,Yes,Tennessee,United States,1.0,,Nope.,Almost Always,A moderate amount,Honolulu,Prefer not to say,Male,Spiritual,Heterosexual,Single,25 - 34,"Marketing,Unemployed,Business and Sales,Other",Brand work online/social media work,55
10/30/2025,10/30/2025,Survey Preview,,100,257,True,10/30/2025 0:17,R_7CDUy6suQtJihbx,,,,,21.3513,-157.8725,preview,EN,"Surfing,Spiritual (meditations, retreats, etc.),Slackline / Highline,Business / Entreprenuership",,"Volley Ball,Fire Spinning,Rock Climbing,Bar Scene,Running,Music (bands, live performances),Pickle Ball","Spiritual (meditations, retreats, etc.)",8.0,Yes,Idaho,United States,2.0,,I'm still feeling it out... We'll see.,,A moderate amount,Honolulu,"Some college, but no degree",Male,Spiritual,Heterosexual,Taken - in a monogamous relationship,18 - 24,Business and Sales,,56
10/30/2025,10/30/2025,Survey Preview,,100,298,True,10/30/2025 0:17,R_7ARmm8vN3NExt2e,,,,,21.329,-158.0119,preview,EN,"Surfing,Calisthenics",,"Free Diving / Scuba Diving,Bar Scene,Running,Calisthenics",Business / Enterpreneurship,3.0,Yes,New York,United States,2.0,,I'm still feeling it out... We'll see.,Sometimes,A moderate amount,Honolulu,"Some college, but no degree",Male,Buddhist,Heterosexual,Polyamorous,18 - 24,"Marketing,Freelance",,57
10/30/2025,10/30/2025,Survey Preview,,100,422,True,10/30/2025 0:20,R_5DqxOFfEsT62MEX,,,,,21.3513,-157.8725,preview,EN,"Fire Spinning,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Boating,Music (bands, live performances),Other / I don't see a community listed here,Slackline / Highline,Hiking,Pickle Ball",WHW,"Volley Ball,Fire Spinning,Running,Yoga,Tech",Diving,10.0,Yes,,United States,2.0,,Yep.,,A moderate amount,Honolulu,"Some college, but no degree",Male,Spiritual,Heterosexual,Taken - in a monogamous relationship,25 - 34,Other,Scuba diver ,58
10/30/2025,10/30/2025,Survey Preview,,100,181,True,10/30/2025 0:22,R_5gc0B0zfoczN77r,,,,,21.329,-158.0119,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Art / Vending,Other / I don't see a community listed here,Hiking","Videography production, teaching","Volley Ball,LGBTQ,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Running,Calisthenics,Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Slackline / Highline,Hiking,Business / Entrepreneurship","Dance (salsa, zouk, hip hop, etc.)",8.0,Yes,Utah,United States,18.0,,Yep.,Almost Always,A lot,Honolulu,Prefer not to say,Male,Other,Heterosexual,Single,25 - 34,"Freelance,Business and Sales",,59
10/30/2025,10/30/2025,Survey Preview,,100,261,True,10/30/2025 0:38,R_1p5aiJTiF9yGFUM,,,,,21.3513,-157.8725,preview,EN,"LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Boating,Slackline / Highline,Hiking",,"Acroyoga,Volley Ball,Poetry,Rock Climbing,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Calisthenics,SurfBreak,Theatre,Dance (salsa, zouk, hip hop, etc.),Yoga,Martial Arts,Paddling / Outrigger,Other / I don't see a community listed here.,Business / Entrepreneurship,Tech,Farming,Hunting",Hiking,10.0,Yes,California,United States,18.0,,I'm still feeling it out... We'll see.,Sometimes,A great deal,West Side,High school diploma or GED,Female,"Agnostic, Atheist, or non-religious",Bisexual,Single,18 - 24,Other,Torrism underwater photographer ,60
10/30/2025,10/30/2025,Survey Preview,,100,293,True,10/30/2025 0:46,R_1JLykFD5usoZPxw,,,,,21.3042,-157.8588,preview,EN,"Rock Climbing,Free Diving / Scuba Diving,Surfing,Slackline / Highline,Hiking",,"Acroyoga,LGBTQ,Boating,Music Production (DJs, light production, etc.)",Diving,5.0,Yes,Wisconsin,United States,2.0,,Nope.,Almost Always,A little,Central Oahu,Bachelor’s degree,Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,25 - 34,Military,,61
10/31/2025,10/31/2025,Survey Preview,,100,512,True,10/31/2025 1:25,R_6frPwh5hJkjXC77,,,,,21.329,-158.0119,preview,EN,"LGBTQ,Poetry,Fire Spinning,Surfing,Spiritual (meditations, retreats, etc.),Yoga",,"Free Diving / Scuba Diving,Running,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Farming",Poetry,,Yes,Nevada,United States,8.0,,Yep.,Almost Always,A moderate amount,Honolulu,"Some college, but no degree",Female,Spiritual,Fluid,Polyamorous,25 - 34,"Freelance,Full-time student",,62
10/31/2025,10/31/2025,Survey Preview,,100,218,True,10/31/2025 1:34,R_623ezpXoz24W3tW,,,,,21.3266,-157.8621,preview,EN,"Poetry,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Calisthenics,Music (bands, live performances),Theatre,Yoga,Hiking,Business / Entreprenuership",,"Volley Ball,LGBTQ,Poetry,Fire Spinning,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Calisthenics,Boating,Dance (salsa, zouk, hip hop, etc.),Music Production (DJs, light production, etc.),Slackline / Highline,Hiking,Tech",Bar Scene,3.0,Yes,California,United States,9.0,,Yep.,,A moderate amount,Honolulu,Bachelor’s degree,Female,"Agnostic, Atheist, or non-religious",Heterosexual,Single,35 - 44,"Freelance,Unemployed,Real Estate,Hospitality (service industry, tourism, etc)",,63
10/31/2025,10/31/2025,Survey Preview,,100,223,True,10/31/2025 1:38,R_7Vx7S5Zk5CvScgp,,,,,21.3266,-157.8621,preview,EN,"Music (bands, live performances),Yoga,Hiking",,"Acroyoga,Volley Ball,LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Bar Scene,Surfing,Running,Calisthenics,Music (bands, live performances),Yoga,Slackline / Highline,Hiking,Business / Entrepreneurship,Farming,Hunting",Hiking,8.0,Yes,Hawaii,United States,32.0,,Yep.,Almost Always,A moderate amount,East Side,"Some college, but no degree",Female,"Agnostic, Atheist, or non-religious",Heterosexual,Taken - in a monogamous relationship,25 - 34,"Hospitality (service industry, tourism, etc)",,64
10/31/2025,10/31/2025,Survey Preview,,100,292,True,10/31/2025 1:39,R_710zjpwNIabWnqx,,,,,21.3042,-157.8588,preview,EN,"Music (bands, live performances),Art / Vending,Yoga,Slackline / Highline",,"LGBTQ,Fire Spinning,Surfing,Music Production (DJs, light production, etc.)",Art / Vending,7.0,Yes,New York,United States,2.0,,Nope.,Half of the time,A little,Honolulu,Bachelor’s degree,Male,Spiritual,Heterosexual,Single,25 - 34,Other,Arts/Museum,65
10/31/2025,10/31/2025,Survey Preview,,100,221,True,10/31/2025 2:11,R_1fQbYXEiRtgHPWA,,,,,21.3266,-157.8621,preview,EN,"Fire Spinning,Rock Climbing,Running,Boating,Music (bands, live performances),Dance (salsa, zouk, hip hop, etc.),Art / Vending",,"Acroyoga,Volley Ball,LGBTQ,Poetry,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Calisthenics,SurfBreak,Boating,Music (bands, live performances),Theatre,Dance (salsa, zouk, hip hop, etc.),Art / Vending,Music Production (DJs, light production, etc.),Yoga,Martial Arts,Paddling / Outrigger,Slackline / Highline,Hiking,Business / Entrepreneurship,Tech,Pickle Ball,Farming,Hunting",,8.0,No,,United States,37.0,,I'm still feeling it out... We'll see.,Sometimes,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,"Agnostic, Atheist, or non-religious",Heterosexual,Single,35 - 44,"Business and Sales,Education,Research,Hospitality (service industry, tourism, etc)",,66
10/31/2025,10/31/2025,Survey Preview,,100,338,True,10/31/2025 2:47,R_1CIBK3YpiqGlZCh,,,,,21.4535,-158.0193,preview,EN,"Fire Spinning,Surfing,Spiritual (meditations, retreats, etc.),Music (bands, live performances),Yoga,Farming",,"LGBTQ,Free Diving / Scuba Diving,Slackline / Highline",Surfing,6.0,No,,United States,8.0,,I'm still feeling it out... We'll see.,,A little,North Shore,Bachelor’s degree,Female,Other,Fluid,Fluid - open to whatever happens,35 - 44,Other,Childcare,67
11/5/2025,11/5/2025,Survey Preview,,100,382,True,11/5/2025 2:26,R_7SueewDat4oao9j,,,,,33.816,-117.9692,preview,EN,"Rock Climbing,Other / I don't see a community listed here,Business / Entreprenuership",Law Enforcement ,"Acroyoga,LGBTQ,Fire Spinning,Free Diving / Scuba Diving,Bar Scene,Surfing,Spiritual (meditations, retreats, etc.),Running,Music (bands, live performances),Theatre,Music Production (DJs, light production, etc.),Martial Arts,Paddling / Outrigger,Slackline / Highline,Hiking,Tech,Hunting",Rock Climbing,3.0,Yes,Hawaii,United States,34.0,,Yep.,Almost Always,A moderate amount,Central Oahu,Associates or technical degree,Male,Christian,Heterosexual,Taken - in a monogamous relationship,25 - 34,"Legal (lawyers, judges, officers, etc.)",,68
11/5/2025,11/5/2025,Survey Preview,,100,153,True,11/5/2025 18:10,R_6GHQjkbzkzTrz9A,,,,,21.3133,-157.823,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Music (bands, live performances),Music Production (DJs, light production, etc.)",,"Bar Scene,Surfing,Boating,Hiking,Business / Entrepreneurship",Fire Spinning,9.0,Yes,California,United States,14.0,,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,Spiritual,Heterosexual,Single,25 - 34,Medical Field / Healthcare,,69
11/5/2025,11/5/2025,Survey Preview,,100,179,True,11/5/2025 19:44,R_6QSxKhftDPdnUrL,,,,,21.4535,-158.0193,preview,EN,"Fire Spinning,Spiritual (meditations, retreats, etc.),Music Production (DJs, light production, etc.)",,"Acroyoga,Volley Ball,LGBTQ,Rock Climbing,Free Diving / Scuba Diving,Surfing,Slackline / Highline","Music Production (Djs, light production, etc.)",9.0,Yes,Virginia,United States,3.0,,I'm still feeling it out... We'll see.,Almost Always,A moderate amount,Honolulu,Bachelor’s degree,Female,Spiritual,Heterosexual,Taken - in a monogamous relationship,25 - 34,Marketing,,70
11/7/2025,11/7/2025,Survey Preview,,100,187,True,11/7/2025 15:09,R_6qd49CyDbXXjo0V,,,,,39.2842,-76.6918,preview,EN,"Acroyoga,Fire Spinning,Rock Climbing,Free Diving / Scuba Diving,Spiritual (meditations, retreats, etc.),SurfBreak,Slackline / Highline",,"Volley Ball,Boating,Music Production (DJs, light production, etc.),Paddling / Outrigger",Fire Spinning,5.0,Yes,Maryland,United States,1.0,,I'm still feeling it out... We'll see.,Almost Always,A little,Honolulu,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,Spiritual,Heterosexual,Single,25 - 34,Tech,,71
